Date,Tm,Opp,Team_FG,Team_FGA,Team_FGpct,Team_3P,Team_3PA,Team_3Ppct,Team_FT,Team_FTA,Team_FTpct,Team_ORB,Team_TRB,Team_AST,Team_STL,Team_BLK,Team_TOV,Team_PF,Opp_FG,Opp_FGA,Opp_FGpct,Opp_3P,Opp_3PA,Opp_3Ppct,Opp_FT,Opp_FTA,Opp_FTpct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
2022-11-27,98,106,35,88,39,10,36,27,18,19,94,8,42,24,6,3,9,12,40,82,48,9,33,27,17,19,89,6,46,28,8,5,12,16
2022-11-28,101,104,37,74,50,12,27,44,15,22,68,8,42,26,7,6,19,21,39,86,45,10,28,35,16,18,88,10,37,23,10,3,12,19
2022-11-30,125,108,51,94,54,8,32,25,15,19,78,14,49,25,8,3,12,17,39,79,49,8,27,29,22,25,88,6,33,26,5,3,18,21
2022-12-02,117,109,49,88,55,10,28,35,9,14,64,12,43,24,7,3,12,14,45,85,52,12,32,37,7,13,53,9,33,31,8,0,15,12
2022-12-05,114,121,44,102,43,13,38,34,13,17,76,17,54,24,7,4,18,24,43,95,45,12,34,35,23,24,95,14,49,25,8,4,16,19
2022-12-07,89,113,32,85,37,6,36,16,19,24,79,11,39,16,4,6,11,17,37,83,44,17,36,47,22,24,91,13,55,26,6,2,14,23
2022-12-09,116,120,46,93,49,10,29,34,14,16,87,12,38,21,12,4,18,18,45,83,54,13,30,43,17,21,81,9,38,30,10,5,21,18
2022-12-11,123,122,47,98,48,13,39,33,16,21,76,8,45,28,3,6,14,22,48,100,48,7,27,25,19,23,82,13,53,28,11,6,18,21
2022-12-12,103,128,37,104,35,12,37,32,17,22,77,20,39,20,13,1,15,17,50,83,60,13,32,40,15,18,83,5,49,36,8,12,22,17
2022-12-14,124,135,44,88,50,12,35,34,24,27,88,11,39,30,2,6,13,21,47,93,50,16,36,44,25,30,83,14,46,28,10,6,11,22
2022-12-16,125,106,41,75,54,15,29,51,28,34,82,4,41,25,3,5,12,22,39,98,39,15,43,34,13,19,68,15,43,26,8,5,12,25
2022-12-19,126,125,48,94,51,12,32,37,18,20,90,6,41,29,7,3,10,18,45,95,47,12,34,35,23,25,92,10,45,29,8,8,8,17
2022-12-21,108,110,39,91,42,14,37,37,16,16,100,9,47,22,6,7,15,15,43,86,50,7,24,29,17,22,77,8,47,20,9,4,11,15
2022-12-23,130,105,49,92,53,12,34,35,20,24,83,8,48,30,10,8,8,20,37,90,41,9,33,27,22,29,75,9,43,17,7,3,14,19
2022-12-27,114,129,40,89,44,12,30,40,22,29,75,9,42,26,4,3,9,19,47,92,51,13,35,37,22,27,81,7,49,28,3,2,10,16
2022-12-28,107,108,42,97,43,8,22,36,15,22,68,11,47,22,5,6,3,14,42,83,50,10,26,38,14,17,82,5,47,22,0,13,12,18
2022-12-30,121,130,48,101,47,11,38,28,14,20,70,12,41,22,6,5,10,19,52,96,54,10,32,31,16,18,88,12,55,34,7,6,16,17
2023-01-02,141,143,53,109,48,11,35,31,24,29,82,10,53,30,9,10,13,17,54,121,44,19,59,32,16,24,66,23,69,34,9,6,19,23
2023-01-04,120,117,45,84,53,10,30,33,20,22,90,7,44,21,9,4,15,21,41,88,46,10,25,40,25,27,92,10,42,26,9,3,10,19
2023-01-06,114,130,44,96,45,9,31,29,17,22,77,7,39,24,8,5,12,15,51,93,54,16,35,45,12,16,75,7,51,33,6,5,16,18
2023-01-08,112,108,44,89,49,8,26,30,16,20,80,7,43,22,7,9,9,18,37,95,38,10,30,33,24,31,77,21,59,25,6,5,11,19
2023-01-11,105,114,39,87,44,11,30,36,16,18,88,6,41,25,5,3,11,12,45,98,45,18,48,37,6,11,54,14,57,28,6,4,10,15
2023-01-13,113,111,41,94,43,16,33,48,15,21,71,14,50,26,6,9,13,22,40,101,39,7,30,23,24,29,82,19,51,24,8,9,12,22
2023-01-14,114,103,43,84,51,11,27,40,17,18,94,5,40,19,6,4,11,22,36,87,41,7,29,24,24,30,80,11,43,19,9,3,12,19
2023-01-16,121,113,45,76,59,13,27,48,18,22,81,2,28,27,9,5,16,17,43,89,48,8,31,25,19,20,95,12,41,30,10,4,14,22
2023-01-18,130,122,49,86,57,13,26,50,19,20,95,7,35,28,7,4,12,23,44,84,52,16,42,38,18,24,75,10,31,26,5,3,16,19
2023-01-20,139,124,56,100,56,13,34,38,14,16,87,14,39,27,6,4,7,16,49,83,59,13,30,43,13,17,76,9,34,27,5,3,12,15
2023-01-21,118,122,45,83,54,11,25,44,17,20,85,6,40,24,5,4,16,20,45,89,50,13,34,38,19,22,86,6,36,28,11,2,12,18
2023-01-23,100,111,39,85,45,10,33,30,12,19,63,9,43,24,6,4,18,14,44,95,46,11,34,32,12,18,66,15,47,28,13,3,9,20
2023-01-25,137,132,50,84,59,11,29,37,26,33,78,11,46,26,5,6,16,16,53,102,52,15,34,44,11,16,68,12,37,31,12,2,11,23
2023-01-28,113,120,45,95,47,7,27,25,16,20,80,15,47,24,12,2,8,18,42,80,52,19,39,48,17,19,89,6,37,25,5,5,14,15
2023-01-30,125,129,44,94,46,13,30,43,24,30,80,17,45,26,5,0,6,21,43,79,54,19,40,47,24,27,88,3,32,24,2,7,8,21
2023-02-01,132,100,52,91,57,19,33,57,9,11,81,6,45,32,6,5,12,24,35,86,40,4,28,14,26,31,83,12,44,22,8,4,16,13
2023-02-03,115,108,44,95,46,10,37,27,17,23,73,14,52,28,8,5,9,18,41,91,45,13,44,29,13,18,72,13,50,20,4,2,15,22
2023-02-04,108,128,44,91,48,6,20,30,14,17,82,10,43,26,7,7,15,18,48,95,50,15,38,39,17,20,85,12,48,32,14,6,12,15
2023-02-07,107,116,38,85,44,12,36,33,19,25,76,10,41,30,4,6,11,21,45,91,49,12,32,37,14,21,66,13,47,28,8,2,9,19
2023-02-09,116,107,43,95,45,10,29,34,20,27,74,20,59,23,6,4,18,22,39,86,45,7,30,23,22,29,75,9,35,24,14,10,10,19
2023-02-11,125,106,50,103,48,10,26,38,15,19,78,14,48,29,9,6,10,10,40,94,42,11,37,29,15,17,88,14,49,25,9,5,19,17
2023-02-13,138,144,53,108,49,11,28,39,21,21,100,16,42,26,9,4,12,15,53,84,63,20,37,54,18,23,78,3,35,36,5,5,17,19
2023-02-15,101,122,40,97,41,5,26,19,16,21,76,8,40,25,6,7,4,18,45,96,46,14,43,32,18,22,81,10,55,16,2,4,9,21
2023-02-24,136,119,50,85,58,15,28,53,21,23,91,5,42,28,7,8,14,21,40,88,45,13,35,37,26,29,89,10,35,20,9,6,11,23
2023-02-26,129,127,45,90,50,16,30,53,23,28,82,13,46,20,7,2,15,18,43,87,49,14,39,35,27,29,93,6,37,20,12,6,9,21
2023-02-28,116,119,43,93,46,13,35,37,17,19,89,13,42,21,4,7,9,17,48,97,49,6,21,28,17,20,85,16,48,19,6,5,8,15
2023-03-03,129,111,52,91,57,12,26,46,13,16,81,10,43,30,10,5,17,19,41,87,47,13,39,33,16,20,80,9,34,22,11,7,17,15
2023-03-04,109,117,37,79,46,9,30,30,26,30,86,10,37,22,12,1,16,23,42,83,50,13,35,37,20,23,87,12,43,31,5,3,19,19
