Date,Tm,Opp,Team_FG,Team_FGA,Team_FGpct,Team_3P,Team_3PA,Team_3Ppct,Team_FT,Team_FTA,Team_FTpct,Team_ORB,Team_TRB,Team_AST,Team_STL,Team_BLK,Team_TOV,Team_PF,Opp_FG,Opp_FGA,Opp_FGpct,Opp_3P,Opp_3PA,Opp_3Ppct,Opp_FT,Opp_FTA,Opp_FTpct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
2022-10-19,117,107,45,90,50,7,25,28,20,24,83,4,38,30,12,5,9,18,42,98,42,9,35,25,14,15,93,15,54,25,4,3,15,20
2022-10-21,108,98,40,89,44,13,31,41,15,16,93,9,46,26,10,2,17,22,33,80,41,8,34,23,24,30,80,10,44,16,9,7,19,19
2022-10-23,109,126,39,95,41,8,35,22,23,28,82,16,45,23,8,9,12,21,47,90,52,11,26,42,21,30,70,14,52,28,7,6,13,24
2022-10-26,118,113,45,91,49,8,22,36,20,25,80,10,46,22,6,12,12,20,42,91,46,14,32,43,15,22,68,10,40,23,4,6,13,25
2022-10-28,136,112,55,97,56,12,29,41,14,18,77,10,45,31,5,8,6,26,37,86,43,7,32,21,31,38,81,14,42,18,2,4,10,22
2022-10-29,115,123,45,94,47,13,29,44,12,15,80,12,42,19,5,2,12,23,45,92,48,14,36,38,19,29,65,14,49,24,8,5,11,18
2022-10-31,109,139,39,84,46,11,29,37,20,25,80,7,37,28,1,4,18,27,46,92,50,14,34,41,33,40,82,12,44,25,13,9,6,22
2022-11-02,112,99,44,107,41,12,34,35,12,16,75,17,51,28,11,4,7,18,37,90,41,10,36,27,15,20,75,12,52,23,3,9,16,19
2022-11-05,124,121,47,103,45,9,36,25,21,25,84,12,50,28,12,8,13,23,47,108,43,7,23,30,20,28,71,19,59,23,8,6,16,24
2022-11-07,117,98,46,99,46,11,29,37,14,17,82,12,48,23,11,3,12,18,36,87,41,13,40,32,13,16,81,6,41,21,5,9,18,18
2022-11-09,119,125,51,109,46,8,28,28,9,11,81,17,54,24,5,5,11,16,44,94,46,17,39,43,20,24,83,13,47,27,5,6,13,20
2022-11-10,104,95,39,88,44,6,26,23,20,23,87,11,54,19,8,2,18,22,32,83,38,6,30,20,25,30,83,9,45,15,10,5,17,22
2022-11-12,109,121,40,89,44,6,24,25,23,27,85,12,43,20,4,2,18,19,44,80,55,8,24,33,25,31,80,2,31,24,10,5,12,26
2022-11-14,121,106,44,92,47,7,20,35,26,30,86,13,45,23,4,4,9,23,34,82,41,6,29,20,32,41,78,11,46,21,4,3,15,26
2022-11-16,101,126,42,101,41,7,32,21,10,13,76,14,45,21,5,5,9,11,48,88,54,21,46,45,9,10,90,6,49,29,4,8,14,20
2022-11-19,124,122,46,92,50,7,25,28,25,32,78,11,50,23,5,5,14,20,48,108,44,8,37,21,18,22,81,17,51,27,11,6,13,25
2022-11-21,102,114,38,87,43,11,34,32,15,17,88,10,35,24,11,3,16,21,42,70,60,10,19,52,20,23,87,3,37,24,8,3,19,17
2022-11-23,115,106,41,92,44,11,30,36,22,23,95,10,47,23,9,6,13,20,41,89,46,9,31,29,15,21,71,10,48,27,6,2,18,23
2022-11-25,122,128,39,82,47,15,39,38,29,36,80,6,28,14,9,6,13,26,41,87,47,12,35,34,34,41,82,22,59,25,9,4,21,29
