SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,3PM,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,Team,Location,Opponent,PR,PA,AR,PRA,W_PCT,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_PACE,E_REB_PCT,personId,points,contestedShots,contestedShots2pt,contestedShots3pt,deflections,chargesDrawn,screenAssists,screenAssistPoints,looseBallsRecoveredOffensive,looseBallsRecoveredDefensive,looseBallsRecoveredTotal,offensiveBoxOuts,defensiveBoxOuts,boxOutPlayerTeamRebounds,boxOutPlayerRebounds,boxOuts,matchupMinutes,partialPossessions,switchesOn,oppPoints,defensiveRebounds,matchupAssists,matchupTurnovers,steals,matchupFieldGoalsMade,matchupFieldGoalsAttempted,matchupFieldGoalPercentage,matchupThreePointersMade,matchupThreePointersAttempted,matchupThreePointerPercentage,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,percentageFieldGoalsAttempted2pt,percentageFieldGoalsAttempted3pt,percentagePoints2pt,percentagePointsMidrange2pt,percentagePoints3pt,percentagePointsFastBreak,percentagePointsFreeThrow,percentagePointsOffTurnovers,percentagePointsPaint,percentageAssisted2pt,percentageUnassisted2pt,percentageAssisted3pt,percentageUnassisted3pt,percentageAssistedFGM,percentageUnassistedFGM,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,pointsOffTurnovers,pointsSecondChance,pointsFastBreak,pointsPaint,oppPointsOffTurnovers,oppPointsSecondChance,oppPointsFastBreak,oppPointsPaint,blocksAgainst,foulsPersonal,foulsDrawn,speed,distance,reboundChancesOffensive,reboundChancesDefensive,reboundChancesTotal,touches,secondaryAssists,freeThrowAssists,passes,assists,contestedFieldGoalsMade,contestedFieldGoalsAttempted,contestedFieldGoalPercentage,uncontestedFieldGoalsMade,uncontestedFieldGoalsAttempted,uncontestedFieldGoalsPercentage,fieldGoalPercentage,defendedAtRimFieldGoalsMade,defendedAtRimFieldGoalsAttempted,defendedAtRimFieldGoalPercentage,percentageFieldGoalsMade,percentageFieldGoalsAttempted,percentageThreePointersMade,percentageThreePointersAttempted,percentageFreeThrowsMade,percentageFreeThrowsAttempted,percentageReboundsOffensive,percentageReboundsDefensive,percentageReboundsTotal,percentageAssists,percentageTurnovers,percentageSteals,percentageBlocks,percentageBlocksAllowed,percentagePersonalFouls,percentagePersonalFoulsDrawn,percentagePoints,Player Name,Player Height,Player Weight,True Position,Back_to_Back,First_Home_After_Road,Weighted_OpponentOBPM,Weighted_OpponentDBPM,Weighted_OpponentHeight,Weighted_OpponentWeight,Weighted_OpponentSpeed,Weighted_OpponentWingspan,Weighted_OpponentLength
22023,203932,22301071,"MAR 29, 2024",DEN vs. MIN,L,31,5,9,0.556,2,4,0.5,2,4,0.5,1,6,7,4,0,0,4,4,14,-5,1,DEN,vs.,MIN,21,18,11,25,1.2297294560189906,0.1151317411224705,2.372715601932306,1.325144520999329,-0.9057280551526636,0.8718947191761556,203932,14.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12:07,57.9,0.0,9.0,6.0,6.0,0.0,0.0,3.0,9.0,0.333,1.0,4.0,0.25,22301071,1610612743,Denver,Nuggets,DEN,nuggets,Aaron,Gordon,A. Gordon,aaron-gordon,F,,,0.556,0.444,0.429,0.0,0.429,0.0,0.143,0.0,0.429,1.0,0.0,1.0,0.0,1.0,0.0,106.4,111.5,124.7,117.7,-18.3,-6.3,0.2,1.0,21.1,0.032,0.25,0.127,21.1,0.667,0.651,0.209,94.87,95.28,79.4,61.0,0.08,0,2,0,6,7,2,7,24,0,4,2,0.0,0.0,0,0,0,0,0,0,0,4,0,0,0.0,0,0,0.0,0.556,0,0,0.0,0.2,0.161,0.333,0.211,0.167,0.222,0.125,0.286,0.241,0.2,0.5,0.0,0.0,0.0,0.286,0.143,0.206,Aaron Gordon,203.2,235.0,Wing,0,0,0.499505766062603,1.4260296540362438,207.4012520593081,248.5453047775947,4.0788467874794065,223.72889621087313,431.1301482701812
22023,203932,22301059,"MAR 27, 2024",DEN vs. PHX,L,36,7,14,0.5,1,3,0.333,3,3,1.0,2,4,6,2,0,0,2,2,18,6,1,DEN,vs.,PHX,24,20,8,26,0.4990744922212013,0.6465090078415779,0.1825165847640189,0.547825109239946,0.0018908727664965,1.1227996743347612,203932,18.0,6.0,4.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15:40,66.7,0.0,13.0,4.0,3.0,4.0,0.0,5.0,15.0,0.333,3.0,5.0,0.6,22301059,1610612743,Denver,Nuggets,DEN,nuggets,Aaron,Gordon,A. Gordon,aaron-gordon,F,,,0.786,0.214,0.667,0.0,0.167,0.222,0.167,0.111,0.667,0.833,0.167,1.0,0.0,0.857,0.143,119.9,122.4,113.5,111.8,6.4,10.6,0.077,1.0,10.5,0.061,0.129,0.094,10.5,0.536,0.587,0.223,89.49,89.26,74.38,67.0,0.089,2,5,4,12,7,7,4,24,3,2,3,4.0,2.58,6,4,10,45,1,0,25,2,2,6,0.333,5,8,0.625,0.5,1,1,1.0,0.212,0.215,0.143,0.12,0.333,0.3,0.25,0.182,0.2,0.105,0.286,0.0,0.0,0.6,0.2,0.273,0.22,Aaron Gordon,203.2,235.0,Wing,2,0,2.3531767955801106,0.23632596685082874,205.9785635359116,228.56767955801106,3.6221823204419894,216.86785911602212,422.8464226519337
22023,203932,22301026,"MAR 23, 2024",DEN @ POR,W,37,8,21,0.381,0,2,0.0,6,8,0.75,8,4,12,5,0,3,1,0,22,-6,1,DEN,@,POR,34,27,17,39,-1.507130662613407,-1.8775330090741824,-0.8066055520216651,-1.7286103109125324,-0.4519185911930835,-0.6962612505651302,203932,22.0,7.0,7.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,14:34,74.0,0.0,9.0,4.0,3.0,3.0,0.0,4.0,17.0,0.235,1.0,4.0,0.25,22301026,1610612743,Denver,Nuggets,DEN,nuggets,Aaron,Gordon,A. Gordon,aaron-gordon,F,,,0.905,0.095,0.727,0.0,0.0,0.0,0.273,0.227,0.727,0.5,0.5,0.0,0.0,0.5,0.5,112.4,113.3,116.2,119.7,-3.9,-6.4,0.238,5.0,16.1,0.186,0.118,0.156,3.2,0.381,0.449,0.284,100.07,98.17,81.81,75.0,0.135,5,6,0,16,14,18,9,52,4,0,5,4.04,2.73,11,9,20,82,0,1,52,5,8,19,0.421,0,1,0.0,0.381,2,5,0.4,0.276,0.318,0.0,0.1,0.273,0.258,0.5,0.222,0.353,0.263,0.083,0.0,0.5,0.667,0.0,0.227,0.259,Aaron Gordon,203.2,235.0,Wing,0,0,-2.180263157894737,-0.6580263157894737,201.91997368421053,226.17763157894737,4.160394736842105,204.2921842105263,406.21215789473683
22023,203932,22301009,"MAR 21, 2024",DEN vs. NYK,W,35,5,9,0.556,0,0,0.0,0,1,0.0,3,1,4,8,1,0,0,1,10,22,1,DEN,vs.,NYK,14,18,12,22,0.6352982990309588,0.3011137844741589,0.7124034437563475,0.5848403193237262,-1.6431684340869903,1.9382407786002296,203932,10.0,4.0,1.0,3.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,13:25,64.9,0.0,6.0,1.0,1.0,1.0,1.0,2.0,8.0,0.25,1.0,5.0,0.2,22301009,1610612743,Denver,Nuggets,DEN,nuggets,Aaron,Gordon,A. Gordon,aaron-gordon,F,,,1.0,0.0,1.0,0.0,0.0,0.2,0.0,0.2,1.0,0.6,0.4,0.0,0.0,0.6,0.4,134.8,138.2,106.8,107.5,28.0,30.8,0.235,0.0,47.1,0.103,0.03,0.065,0.0,0.556,0.53,0.116,93.51,92.06,76.72,68.0,0.088,2,4,2,10,6,8,7,38,3,1,2,3.77,2.37,5,3,8,46,0,0,35,8,4,7,0.571,1,2,0.5,0.556,2,2,1.0,0.128,0.136,0.0,0.0,0.0,0.077,0.375,0.038,0.118,0.296,0.0,0.333,0.0,0.5,0.125,0.167,0.106,Aaron Gordon,203.2,235.0,Wing,2,0,-0.6260614934114205,1.220497803806735,193.6201464128843,214.12005856515373,3.978155197657394,204.3088140556369,397.9289604685212
22023,203932,22300995,"MAR 19, 2024",DEN @ MIN,W,32,5,10,0.5,0,0,0.0,4,5,0.8,7,4,11,2,0,0,4,1,14,-14,1,DEN,@,MIN,25,16,13,27,1.2297294560189906,0.1151317411224705,2.372715601932306,1.325144520999329,-0.9057280551526636,0.8718947191761556,203932,14.0,6.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,12:15,66.4,0.0,19.0,4.0,4.0,2.0,0.0,9.0,13.0,0.692,1.0,1.0,1.0,22300995,1610612743,Denver,Nuggets,DEN,nuggets,Aaron,Gordon,A. Gordon,aaron-gordon,F,,,1.0,0.0,0.714,0.0,0.0,0.0,0.286,0.0,0.714,0.4,0.6,0.0,0.0,0.4,0.6,111.9,112.3,130.0,126.1,-18.1,-13.8,0.1,0.5,11.1,0.212,0.143,0.18,22.2,0.5,0.574,0.213,98.0,99.36,82.8,65.0,0.085,0,10,0,10,19,7,6,38,1,1,4,3.96,2.29,9,4,13,44,0,0,28,2,5,8,0.625,0,2,0.0,0.5,1,1,1.0,0.2,0.182,0.0,0.0,0.25,0.238,0.7,0.19,0.355,0.143,0.364,0.0,0.0,0.25,0.083,0.286,0.192,Aaron Gordon,203.2,235.0,Wing,1,0,0.6294385432473445,0.968133535660091,196.16971168437024,213.68892261001514,4.068770864946889,208.0672382397572,404.23694992412743
22023,203932,22300978,"MAR 17, 2024",DEN @ DAL,L,34,4,7,0.571,0,2,0.0,3,4,0.75,0,8,8,4,0,1,0,3,11,12,1,DEN,@,DAL,19,15,12,23,0.6352982990309588,0.8590599145292239,-0.2413929024298449,0.4737946890723857,0.8527836176907122,-0.8844399669340844,203932,11.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,13:02,64.9,0.0,11.0,8.0,3.0,3.0,0.0,3.0,11.0,0.273,2.0,6.0,0.333,22300978,1610612743,Denver,Nuggets,DEN,nuggets,Aaron,Gordon,A. Gordon,aaron-gordon,F,,,0.714,0.286,0.727,0.0,0.0,0.0,0.273,0.182,0.727,0.75,0.25,0.0,0.0,0.75,0.25,116.1,117.6,102.1,103.0,14.0,14.6,0.167,0.0,30.8,0.0,0.19,0.111,0.0,0.571,0.628,0.123,96.94,95.86,79.88,68.0,0.127,2,2,0,8,4,12,10,40,1,3,3,0.0,0.0,0,0,0,0,0,0,0,4,0,0,0.0,0,0,0.0,0.57,0,0,0.0,0.143,0.121,0.0,0.087,0.188,0.222,0.0,0.348,0.296,0.211,0.0,0.0,0.2,0.5,0.273,0.188,0.138,Aaron Gordon,203.2,235.0,Wing,0,0,0.8184523809523812,0.6511904761904762,204.01642857142858,227.21875,3.8112202380952382,217.18550595238096,421.20193452380954
22023,203932,22300965,"MAR 15, 2024",DEN @ SAS,W,25,3,3,1.0,0,0,0.0,1,2,0.5,1,2,3,7,0,0,1,2,7,3,1,DEN,@,SAS,10,14,10,17,-1.5938185396741615,-1.3195868790191172,-0.7359539708226869,-1.3029353949490607,1.4200454476401894,-0.5708087729858273,203932,7.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10:02,49.4,0.0,9.0,2.0,3.0,2.0,0.0,4.0,9.0,0.444,1.0,5.0,0.2,22300965,1610612743,Denver,Nuggets,DEN,nuggets,Aaron,Gordon,A. Gordon,aaron-gordon,F,,,1.0,0.0,0.857,0.0,0.0,0.429,0.143,0.0,0.857,1.0,0.0,0.0,0.0,1.0,0.0,115.5,118.0,110.8,112.0,4.7,6.0,0.333,7.0,58.3,0.056,0.08,0.07,8.3,1.0,0.902,0.094,97.15,95.62,79.68,50.0,0.099,0,0,3,6,4,8,10,20,0,2,1,4.17,1.83,2,2,3,31,0,1,26,7,3,3,1.0,0,0,0.0,1.0,2,2,1.0,0.125,0.071,0.0,0.0,0.167,0.286,0.5,0.1,0.136,0.333,0.125,0.0,0.0,0.0,0.25,0.143,0.119,Aaron Gordon,203.2,235.0,Wing,0,0,-1.2372586872586875,-0.45579150579150585,200.5619305019305,217.37258687258688,4.245598455598456,211.4834362934363,412.0453667953668
22023,203932,22300949,"MAR 13, 2024",DEN @ MIA,W,33,6,11,0.545,1,4,0.25,3,6,0.5,2,6,8,4,0,0,1,4,16,17,1,DEN,@,MIA,24,20,12,28,0.2947387820065658,-0.3365389355887678,0.9596839779527636,0.270211033611595,-1.4162637021071962,-0.3199038178272216,203932,16.0,3.0,3.0,0.0,0.0,0.0,3.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,12:01,60.4,0.0,13.0,6.0,1.0,2.0,0.0,4.0,10.0,0.4,1.0,2.0,0.5,22300949,1610612743,Denver,Nuggets,DEN,nuggets,Aaron,Gordon,A. Gordon,aaron-gordon,F,,,0.636,0.364,0.625,0.125,0.188,0.125,0.188,0.0,0.5,0.6,0.4,1.0,0.0,0.667,0.333,122.0,121.3,93.0,91.9,29.0,29.4,0.16,4.0,21.1,0.069,0.167,0.123,5.3,0.591,0.587,0.225,87.61,88.38,73.65,61.0,0.112,0,3,2,8,6,4,9,28,0,4,5,0.0,0.0,0,0,0,0,0,0,0,4,0,0,0.0,0,0,0.0,0.545,0,0,0.0,0.194,0.19,0.111,0.167,1.0,1.0,0.333,0.231,0.25,0.235,0.167,0.0,0.0,0.0,0.5,0.556,0.216,Aaron Gordon,203.2,235.0,Wing,0,0,-0.88625,0.6603125,201.64425,220.41875000000002,3.775546875,196.299109375,397.943359375
22023,203932,22300937,"MAR 11, 2024",DEN vs. TOR,W,31,8,9,0.889,1,2,0.5,2,3,0.667,0,2,2,1,0,0,1,1,19,-1,1,DEN,vs.,TOR,21,20,3,22,-1.1479951719331374,-0.6022275689483215,-0.9479087144196164,-0.9142756890693694,0.2855217877412351,-0.8844399669340844,203932,19.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10:52,61.0,0.0,12.0,2.0,7.0,1.0,0.0,6.0,8.0,0.75,0.0,1.0,0.0,22300937,1610612743,Denver,Nuggets,DEN,nuggets,Aaron,Gordon,A. Gordon,aaron-gordon,F,,,0.778,0.222,0.737,0.0,0.158,0.211,0.105,0.0,0.737,0.714,0.286,1.0,0.0,0.75,0.25,127.1,128.6,129.6,130.2,-2.5,-1.6,0.04,1.0,8.3,0.0,0.074,0.035,8.3,0.944,0.921,0.153,99.34,98.56,82.13,63.0,0.104,0,0,4,14,6,13,15,46,0,1,2,4.05,2.19,2,3,4,38,0,0,25,1,4,4,1.0,4,5,0.8,0.889,2,3,0.667,0.242,0.148,0.167,0.1,0.222,0.231,0.0,0.111,0.077,0.04,0.2,0.0,0.0,0.0,0.125,0.182,0.235,Aaron Gordon,203.2,235.0,Wing,0,0,-0.8907617504051862,-0.8811993517017828,200.0466126418152,215.41004862236628,4.143354943273906,189.49847649918962,389.54508914100484
22023,203932,22300922,"MAR 09, 2024",DEN vs. UTA,W,20,3,3,1.0,0,0,0.0,1,1,1.0,0,2,2,7,2,0,3,4,7,19,1,DEN,vs.,UTA,9,14,9,16,-0.6712118480989866,-0.070850302229214,-1.6544245264093878,-0.9142756890693694,0.7960574346957677,1.373704629493367,203932,7.0,3.0,3.0,0.0,2.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9:25,41.9,0.0,13.0,2.0,0.0,1.0,2.0,5.0,11.0,0.455,0.0,0.0,0.0,22300922,1610612743,Denver,Nuggets,DEN,nuggets,Aaron,Gordon,A. Gordon,aaron-gordon,F,,,1.0,0.0,0.857,0.286,0.0,0.429,0.143,0.0,0.571,0.667,0.333,0.0,0.0,0.667,0.333,143.1,144.2,92.4,102.4,50.7,41.8,0.304,2.33,53.8,0.0,0.083,0.056,23.1,1.0,1.017,0.13,105.95,100.25,83.54,43.0,0.111,0,0,3,4,5,5,2,28,0,4,1,0.0,0.0,0,0,0,0,0,0,0,7,0,0,0.0,0,0,0.0,1.0,0,0,0.0,0.115,0.079,0.0,0.0,0.5,0.333,0.0,0.222,0.167,0.389,0.429,0.4,0.0,0.0,0.5,0.2,0.113,Aaron Gordon,203.2,235.0,Wing,0,0,-1.0051685393258427,-1.6782022471910112,200.7741573033708,219.95505617977528,4.000089887640449,195.41907865168537,396.19323595505614
22023,203932,22300906,"MAR 07, 2024",DEN vs. BOS,W,34,8,15,0.533,0,2,0.0,0,0,0.0,3,6,9,1,1,0,0,2,16,-6,1,DEN,vs.,BOS,25,17,10,26,1.7374727359462685,2.028089901311258,1.171638721549698,2.009925907549261,-0.7355495061678221,1.0600734355451098,203932,16.0,7.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,11:51,72.6,0.0,12.0,6.0,3.0,2.0,1.0,5.0,11.0,0.455,1.0,3.0,0.333,22300906,1610612743,Denver,Nuggets,DEN,nuggets,Aaron,Gordon,A. Gordon,aaron-gordon,F,,,0.867,0.133,1.0,0.0,0.0,0.125,0.0,0.125,1.0,0.5,0.5,0.0,0.0,0.5,0.5,97.8,96.0,103.9,105.4,-6.1,-9.4,0.05,0.0,6.3,0.075,0.167,0.118,0.0,0.533,0.533,0.186,104.86,105.11,87.59,75.0,0.113,2,2,2,16,6,5,11,42,1,2,1,3.9,2.36,6,6,11,49,0,1,33,1,4,8,0.5,4,7,0.571,0.533,3,4,0.75,0.286,0.224,0.0,0.125,0.0,0.0,0.429,0.222,0.265,0.059,0.0,0.125,0.0,0.333,0.2,0.077,0.222,Aaron Gordon,203.2,235.0,Forward,2,0,2.2851063829787233,0.7042553191489361,203.01625531914894,220.51631205673758,3.8072624113475175,213.69269503546099,416.7089503546099
22023,203932,22300893,"MAR 05, 2024",DEN vs. PHX,L,34,3,10,0.3,1,3,0.333,0,1,0.0,1,2,3,3,0,0,1,2,7,-22,2,DEN,vs.,PHX,10,10,6,13,0.4990744922212013,0.6465090078415779,0.1825165847640189,0.547825109239946,0.0018908727664965,1.1227996743347612,203932,7.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14:15,64.0,0.0,20.0,2.0,2.0,1.0,0.0,8.0,17.0,0.471,4.0,6.0,0.667,22300893,1610612743,Denver,Nuggets,DEN,nuggets,Aaron,Gordon,A. Gordon,aaron-gordon,F,,,0.7,0.3,0.571,0.0,0.429,0.0,0.0,0.0,0.571,0.5,0.5,1.0,0.0,0.667,0.333,95.6,94.1,130.4,132.3,-34.8,-38.2,0.136,3.0,21.4,0.03,0.071,0.049,7.1,0.35,0.335,0.153,93.41,93.47,77.89,68.0,0.01,0,2,0,4,18,9,11,24,2,2,2,3.84,2.32,4,2,5,35,0,0,24,3,1,5,0.2,2,5,0.4,0.299,1,1,1.0,0.12,0.179,0.125,0.143,0.0,0.111,0.2,0.087,0.107,0.231,0.083,0.0,0.0,1.0,0.286,0.154,0.109,Aaron Gordon,203.2,235.0,Forward,1,0,0.42966226138032315,0.7262848751835536,200.24599118942731,230.03964757709252,3.798325991189428,209.3069456681351,409.55293685756243
