date,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,FBv,SLv,CBv,CHv,wFB/C,wSL/C,wCB/C,wCH/C,FB% 2,SL%,CB%,CH%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,er_consistency,k_consistency,h_consistency,er_talent,k_talent,h_talent,CTv,wCT/C,CT%,Stf+ FC,Loc+ FC,Pit+ FC,SFv,wSF/C,SF%,Stf+ FS,Loc+ FS,Pit+ FS,Stf+ KC,Loc+ KC,Pit+ KC
2024/03/28,CHC,TEX,home,Roof Closed.,74,657006,RF,4,1,2,0,0,1,1,0,1,1,2,.500,.600,1.250,1.850,657006,justinsteele,Steele,Left,Justin Steele,4.73,4.27,13.1,107.0,100.0,109.0,0.833,7.43,2.7,8.1,1.13,0.268,0.439,0.122,0.39,0.584,92.1,82.7,78.7,87.0,-0.1,-2.19,7.71,5.39,0.6990000000000001,0.278,0.013999999999999999,0.01,77.0,111.0,112.0,71.0,95.0,94.0,92.0,105.0,106.0,50.0,67.0,67.0,124.0,114.0,120.0,0.019,3.61,1.16,0.493,-1.331,-1.625,-0.151,,,,,,,,,,,,,,,
2024/03/30,CHC,TEX,home,Roof Closed.,74,543294,RF,4,1,1,0,0,1,3,1,0,1,6,.375,.400,1.125,1.525,543294,kylehendricks,Hendricks,Right,Kyle Hendricks,10.04,6.99,26.0,104.0,103.0,101.0,0.853,7.27,3.81,13.5,1.48,0.237,0.387,0.204,0.29,0.386,88.0,,74.2,81.1,-5.01,,2.42,-1.23,0.517,,0.064,0.418,122.0,100.0,104.0,89.0,106.0,106.0,62.0,93.0,85.0,106.0,114.0,105.0,,,,0.348,2.468,0.618,3.312,-8.161,-1.855,-5.263,,,,,,,,,,,,,,,
2024/03/31,CHC,TEX,home,Roof Closed.,74,696136,DH,5,0,0,0,0,0,0,0,0,3,3,.231,.267,.692,.959,696136,jordanwicks,Wicks,Left,Jordan Wicks,4.7,4.01,23.0,103.0,94.0,101.0,0.737,10.96,3.52,10.17,0.96,0.203,0.42,0.07200000000000001,0.24600000000000002,0.376,92.7,82.5,78.7,82.4,-1.22,-5.29,-5.05,1.91,0.595,0.077,0.062,0.262,106.0,102.0,102.0,91.0,104.0,100.0,88.0,105.0,104.0,77.0,101.0,90.0,129.0,94.0,98.0,0.14400000000000002,-0.576,-0.382,-1.639,-1.293,3.452,-2.111,90.5,-19.6,0.005,71.0,118.0,92.0,,,,,,,,,
2024/04/01,TB,TEX,away,Dome.,72,686752,DH,4,1,1,0,0,1,2,0,0,0,4,.235,.300,.765,1.065,686752,ryanpepiot,Pepiot,Right,Ryan Pepiot,3.68,2.95,36.2,100.0,117.0,106.0,0.72,10.06,2.7,5.65,0.62,0.261,0.386,0.17,0.307,0.439,94.7,88.7,81.2,86.5,2.82,0.87,2.01,-3.55,0.517,0.271,0.009000000000000001,0.196,110.0,102.0,108.0,143.0,94.0,99.0,114.0,99.0,102.0,,,,125.0,101.0,111.0,,2.104,2.354,-0.803,0.019,2.157,2.168,92.0,3.45,0.006999999999999999,135.0,111.0,115.0,,,,,,,,,
2024/04/02,TB,TEX,away,Dome.,72,621107,RF,4,1,1,1,0,0,0,0,0,2,0,.238,.292,.714,1.006,621107,zacheflin,Eflin,Right,Zach Eflin,3.75,3.44,48.0,110.0,96.0,105.0,0.8059999999999999,7.31,0.75,9.38,1.07,0.179,0.442,0.16,0.33299999999999996,0.48,91.7,80.1,79.3,86.7,-0.74,-0.15,0.35,5.6,0.414,0.11699999999999999,0.19399999999999998,0.021,122.0,99.0,104.0,109.0,114.0,109.0,65.0,119.0,104.0,93.0,110.0,106.0,122.0,111.0,115.0,0.345,2.007,-0.405,1.757,-0.071,-1.798,-1.363,87.5,-0.75,0.254,87.0,105.0,99.0,,,,,,,,,
2024/04/03,TB,TEX,away,Dome.,72,650644,RF,4,1,1,0,0,0,0,0,0,3,1,.240,.286,.640,.926,650644,aaroncivale,Civale,Right,Aaron Civale,5.88,3.99,41.1,99.0,98.0,102.0,0.7659999999999999,9.36,2.61,9.58,0.76,0.258,0.42700000000000005,0.13699999999999998,0.29,0.392,92.0,80.4,76.9,,-0.54,1.7,-1.27,,0.327,0.179,0.19,,,,,99.0,103.0,110.0,65.0,92.0,87.0,71.0,94.0,84.0,160.0,108.0,120.0,0.192,2.007,0.775,0.424,-2.81,1.151,-1.552,87.5,-0.97,0.273,89.0,92.0,96.0,85.7,-6.17,0.031,78.0,103.0,103.0,,,
2024/04/05,HOU,TEX,home,Cloudy.,83,686613,RF,4,1,2,0,0,1,4,0,0,0,2,.276,.313,.724,1.037,686613,hunterbrown,"Brown, H",Right,Hunter Brown,7.79,4.42,32.1,99.0,104.0,100.0,0.7909999999999999,10.02,5.01,13.08,1.67,0.262,0.34,0.165,0.262,0.436,95.2,88.2,81.7,,-2.07,-0.86,-4.98,,0.467,0.10400000000000001,0.142,,,,,,,,94.0,104.0,99.0,75.0,114.0,100.0,116.0,105.0,108.0,0.035,3.428,2.032,2.923,-5.267,2.1,-4.865,92.3,-2.59,0.156,101.0,93.0,95.0,87.9,0.49,0.13,100.0,90.0,102.0,134.0,95.0,103.0
2024/04/06,HOU,TEX,home,Roof Closed.,74,641585,RF,5,0,1,0,0,0,1,0,0,1,3,.265,.297,.647,.944,641585,jpfrance,"France, J",Right,J.P. France,7.46,5.6,25.1,90.0,84.0,90.0,0.77,7.82,4.26,11.01,0.57,0.256,0.419,0.18600000000000003,0.29100000000000004,0.38,92.2,78.5,74.3,82.4,-2.13,-25.79,0.2,0.4,0.311,0.03,0.193,0.22699999999999998,95.0,84.0,90.0,79.0,94.0,88.0,90.0,85.0,84.0,76.0,104.0,103.0,101.0,116.0,110.0,0.017,2.117,-0.382,0.588,-4.843,-1.064,-2.906,86.8,-1.9,0.23800000000000002,70.0,94.0,96.0,,,,,,,,,
2024/04/07,HOU,TEX,home,Clear.,79,669854,RF,3,1,1,0,0,0,0,0,1,2,0,.270,.317,.622,.939,669854,ronelblanco,Blanco,Right,Ronel Blanco,2.23,2.86,44.1,98.0,96.0,96.0,0.747,8.32,4.06,5.08,1.09,0.221,0.478,0.204,0.28300000000000003,0.431,93.7,87.0,79.3,85.5,-0.73,2.86,0.86,2.09,0.34700000000000003,0.289,0.044000000000000004,0.321,126.0,98.0,103.0,80.0,91.0,102.0,76.0,94.0,85.0,,,,73.0,105.0,102.0,,-0.143,-0.046,1.186,1.884,-0.345,2.707,,,,,,,,,,,,,,,
2024/04/08,HOU,TEX,home,Roof Closed.,74,668874,RF,4,1,1,0,0,0,0,0,0,2,2,.268,.311,.585,.896,668874,blairhenley,Henley,Right,Blair Henley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
