Rk,G,Date,Age,Tm,Location,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,PlusMinus,City,Margin,PTSREBAST,PTSREB,PTSAST,REBAST
14,,2022-11-16,27-061,DEN,10,NYK,-10,,,,,0,,,,,,,,,,,,,,,,,,-3,,,,
15,,2022-11-18,27-063,DEN,-10,DAL,-10,,,,,0,,,,,,,,,,,,,,,,,,-28,,,,
16,,2022-11-20,27-065,DEN,-10,DAL,-10,,,,,0,,,,,,,,,,,,,,,,,,+1,,,,
17,14,2022-11-22,27-067,DEN,10,DET,10,28,7,10,.700,1,2,.500,2,5,.400,3,4,7,1,1,1,3,3,17,13.1,+21,DEN,-2,25,24,18,8
18,15,2022-11-23,27-068,DEN,-10,OKC,10,37,10,16,.625,4,5,.800,7,11,.636,5,3,8,4,0,2,1,1,31,29.4,+5,OKC,+5,43,39,35,12
19,16,2022-11-25,27-070,DEN,-10,LAC,10,27,12,16,.750,2,4,.500,3,4,.750,5,2,7,3,2,2,1,4,29,29.2,+13,LAC,+10,39,36,32,10
20,17,2022-11-28,27-073,DEN,10,HOU,10,13,2,3,.667,0,1,.000,0,0,,1,2,3,0,1,0,2,4,4,1.4,+7,DEN,+16,7,7,4,3
21,18,2022-11-30,27-075,DEN,10,HOU,10,31,7,12,.583,2,4,.500,4,7,.571,2,4,6,2,0,1,1,2,20,16.1,+12,DEN,+20,28,26,22,8
22,19,2022-12-02,27-077,DEN,-10,ATL,10,30,7,12,.583,0,2,.000,0,0,,1,4,5,3,2,0,3,0,14,11.4,-1,ATL,-8,22,19,17,8
23,20,2022-12-04,27-079,DEN,-10,NOP,10,37,7,10,.700,1,3,.333,4,4,1.000,1,7,8,0,0,0,1,3,19,15.4,-7,NOP,-15,27,27,19,8
24,21,2022-12-06,27-081,DEN,10,DAL,10,31,10,13,.769,2,2,1.000,5,7,.714,4,4,8,2,1,0,2,2,27,24.7,-6,DEN,-1,37,35,29,10
25,22,2022-12-08,27-083,DEN,-10,POR,10,30,8,12,.667,2,3,.667,2,2,1.000,3,2,5,0,1,0,3,4,20,13.9,-13,POR,+1,25,25,20,5
26,23,2022-12-10,27-085,DEN,10,UTA,10,30,7,13,.538,0,4,.000,1,2,.500,0,1,1,1,2,0,0,3,15,10.1,+6,DEN,+5,17,16,16,2
27,24,2022-12-14,27-089,DEN,10,WAS,10,31,8,14,.571,0,1,.000,6,7,.857,1,6,7,3,1,1,2,0,22,19.3,+21,DEN,+13,32,29,25,10
28,25,2022-12-16,27-091,DEN,-10,LAL,10,32,7,13,.538,1,4,.250,2,4,.500,0,3,3,1,2,1,4,3,17,9.0,-10,LAL,-18,21,20,18,4
29,26,2022-12-18,27-093,DEN,10,CHO,10,28,6,9,.667,2,2,1.000,5,7,.714,3,7,10,1,3,1,2,3,19,19.7,+15,DEN,+4,30,29,20,11
30,27,2022-12-20,27-095,DEN,10,MEM,10,27,9,16,.563,1,2,.500,5,7,.714,4,3,7,4,2,1,1,0,24,23.8,+22,DEN,+14,35,31,28,11
31,28,2022-12-23,27-098,DEN,10,POR,10,31,6,9,.667,0,1,.000,1,3,.333,0,6,6,1,0,1,1,0,13,10.5,+10,DEN,+13,20,19,14,7
32,29,2022-12-25,27-100,DEN,10,PHO,10,41,11,18,.611,1,2,.500,5,9,.556,7,6,13,2,1,1,3,2,28,24.2,+18,DEN,+3,43,41,30,15
33,,2022-12-27,27-102,DEN,-10,SAC,-10,,,,,0,,,,,,,,,,,,,,,,,,+7,,,,
34,,2022-12-28,27-103,DEN,-10,SAC,-10,,,,,0,,,,,,,,,,,,,,,,,,-1,,,,
35,30,2022-12-30,27-105,DEN,10,MIA,10,33,4,8,.500,0,1,.000,3,5,.600,1,4,5,3,2,0,3,1,11,8.8,0,DEN,+5,19,16,14,8
36,31,2023-01-01,27-107,DEN,10,BOS,10,36,6,13,.462,1,2,.500,5,6,.833,1,5,6,7,2,1,2,1,18,18.3,+23,DEN,+12,31,24,25,13
37,32,2023-01-02,27-108,DEN,-10,MIN,10,33,4,18,.222,0,3,.000,4,6,.667,12,4,16,6,1,0,1,3,12,12.8,-10,MIN,-13,34,28,18,22
38,33,2023-01-05,27-111,DEN,10,LAC,10,21,5,7,.714,0,0,,3,4,.750,4,3,7,3,0,0,1,0,13,14.5,+22,DEN,+31,23,20,16,10
39,34,2023-01-06,27-112,DEN,10,CLE,10,29,4,8,.500,1,2,.500,3,6,.500,2,8,10,1,0,0,0,2,12,10.5,+16,DEN,+13,23,22,13,11
40,35,2023-01-09,27-115,DEN,10,LAL,10,22,4,8,.500,1,5,.200,0,1,.000,1,9,10,0,0,4,4,2,9,6.0,+6,DEN,+13,19,19,9,10
41,36,2023-01-11,27-117,DEN,10,PHO,10,23,4,4,1.000,0,0,,4,6,.667,0,0,0,2,1,1,0,2,12,12.3,+18,DEN,+29,14,12,14,2
42,37,2023-01-13,27-119,DEN,-10,LAC,10,31,6,8,.750,2,3,.667,3,5,.600,0,5,5,5,0,0,3,2,17,14.2,+16,LAC,+12,27,22,22,10
43,38,2023-01-15,27-121,DEN,10,ORL,10,32,9,13,.692,2,3,.667,5,11,.455,3,5,8,5,0,0,1,2,25,22.4,+11,DEN,+3,38,33,30,13
44,39,2023-01-17,27-123,DEN,10,POR,10,31,3,8,.375,0,1,.000,5,5,1.000,2,5,7,8,1,1,2,0,11,14.8,+20,DEN,+9,26,18,19,15
45,40,2023-01-18,27-124,DEN,10,MIN,10,29,5,9,.556,1,4,.250,1,2,.500,2,1,3,1,0,1,2,4,12,6.8,+10,DEN,+4,16,15,13,4
46,41,2023-01-20,27-126,DEN,10,IND,10,30,11,15,.733,1,2,.500,5,9,.556,2,3,5,6,0,0,3,4,28,22.2,+26,DEN,+23,39,33,34,11
47,42,2023-01-22,27-128,DEN,10,OKC,10,38,4,15,.267,1,3,.333,6,13,.462,4,6,10,1,2,1,2,1,15,8.9,-2,DEN,-2,26,25,16,11
48,43,2023-01-24,27-130,DEN,-10,NOP,10,23,4,7,.571,1,1,1.000,2,4,.500,0,4,4,3,0,1,3,4,11,6.3,0,NOP,+1,18,15,14,7
49,44,2023-01-25,27-131,DEN,-10,MIL,10,37,10,24,.417,3,5,.600,3,4,.750,7,7,14,4,0,2,1,3,26,21.8,+5,MIL,-8,44,40,30,18
50,45,2023-01-28,27-134,DEN,-10,PHI,10,29,8,10,.800,0,1,.000,2,4,.500,1,4,5,3,0,0,0,1,18,17.0,+5,PHI,-7,26,23,21,8
51,46,2023-01-31,27-137,DEN,10,NOP,10,35,6,12,.500,1,3,.333,2,5,.400,2,4,6,6,0,0,0,3,15,13.4,+22,DEN,+9,27,21,21,12
52,,2023-02-02,27-139,DEN,10,GSW,-10,,,,,0,,,,,,,,,,,,,,,,,,+17,,,,
53,47,2023-02-04,27-141,DEN,10,ATL,10,29,7,10,.700,0,1,.000,1,1,1.000,2,4,6,4,0,1,0,1,15,16.5,+19,DEN,+20,25,21,19,10
54,,2023-02-05,27-142,DEN,-10,MIN,-10,,,,,0,,,,,,,,,,,,,,,,,,-30,,,,
55,48,2023-02-07,27-144,DEN,10,MIN,10,25,8,11,.727,2,3,.667,6,8,.750,0,3,3,8,4,2,3,1,24,27.2,+32,DEN,+34,35,27,32,11
56,49,2023-02-09,27-146,DEN,-10,ORL,10,37,15,21,.714,3,6,.500,4,7,.571,3,10,13,3,1,1,2,1,37,33.6,+5,ORL,-11,53,50,40,16
57,,2023-02-11,27-148,DEN,-10,CHO,-10,,,,,0,,,,,,,,,,,,,,,,,,+14,,,,
58,,2023-02-13,27-150,DEN,-10,MIA,-10,,,,,0,,,,,,,,,,,,,,,,,,+4,,,,
59,,2023-02-15,27-152,DEN,10,DAL,-10,,,,,0,,,,,,,,,,,,,,,,,,+9,,,,
60,,2023-02-23,27-160,DEN,-10,CLE,-10,,,,,0,,,,,,,,,,,,,,,,,,+6,,,,
61,,2023-02-25,27-162,DEN,-10,MEM,-10,,,,,0,,,,,,,,,,,,,,,,,,-18,,,,
62,50,2023-02-26,27-163,DEN,10,LAC,10,28,3,9,.333,0,5,.000,0,0,,0,6,6,6,0,0,2,6,6,2.5,+5,DEN,+10,18,12,12,12
63,51,2023-02-28,27-165,DEN,-10,HOU,10,21,5,7,.714,0,0,,1,2,.500,2,5,7,5,0,0,0,1,11,13.7,+19,HOU,+21,23,18,16,12
64,52,2023-03-03,27-168,DEN,10,MEM,10,28,5,10,.500,0,2,.000,3,3,1.000,4,1,5,0,0,0,0,3,13,9.9,+9,DEN,+16,18,18,13,5
