Rk,G,Date,Age,Tm,Location,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,PlusMinus,City,Margin,PTSREBAST,PTSREB,PTSAST,REBAST
1,1,2022-10-19,27-033,DEN,-10,UTA,10,32,10,17,.588,0,2,.000,2,2,1.000,4,6,10,2,1,1,1,1,22,20.4,-7,UTA,-21,34,32,24,12
2,2,2022-10-21,27-035,DEN,-10,GSW,10,28,5,12,.417,0,6,.000,0,0,,1,2,3,3,0,0,3,1,10,3.6,-10,GSW,+5,16,13,13,6
3,3,2022-10-22,27-036,DEN,10,OKC,10,28,3,9,.333,1,3,.333,4,8,.500,5,5,10,2,0,2,2,0,11,10.1,+19,DEN,+5,23,21,13,12
4,4,2022-10-24,27-038,DEN,-10,POR,10,27,12,16,.750,0,2,.000,2,2,1.000,2,4,6,1,0,0,1,4,26,20.3,-16,POR,-25,33,32,27,7
5,5,2022-10-26,27-040,DEN,10,LAL,10,28,2,8,.250,0,3,.000,2,4,.500,3,6,9,5,0,2,0,1,6,8.8,+19,DEN,+11,20,15,11,14
6,6,2022-10-28,27-042,DEN,10,UTA,10,21,1,4,.250,1,3,.333,0,2,.000,0,1,1,0,0,2,2,0,3,-0.5,0,DEN,+16,4,4,3,1
7,7,2022-10-30,27-044,DEN,-10,LAL,10,30,7,11,.636,3,4,.750,1,2,.500,1,5,6,0,0,2,1,3,18,14.1,+17,LAL,-11,24,24,18,6
8,8,2022-11-03,27-048,DEN,-10,OKC,10,35,10,13,.769,3,4,.750,4,5,.800,2,3,5,3,1,0,0,0,27,26.9,-1,OKC,+12,35,32,30,8
9,9,2022-11-05,27-050,DEN,10,SAS,10,22,4,6,.667,0,1,.000,0,2,.000,2,4,6,2,0,0,0,1,8,8.2,+15,DEN,+25,16,14,10,8
10,10,2022-11-07,27-052,DEN,-10,SAS,10,29,3,5,.600,0,1,.000,3,5,.600,2,3,5,5,4,1,0,1,9,16.0,+10,SAS,+6,19,14,14,10
11,11,2022-11-09,27-054,DEN,-10,IND,10,34,5,8,.625,1,3,.333,7,9,.778,4,12,16,6,1,1,5,2,18,20.1,+4,IND,+3,40,34,24,22
12,12,2022-11-11,27-056,DEN,-10,BOS,10,30,6,10,.600,1,2,.500,4,6,.667,3,4,7,2,0,0,0,3,17,15.1,-4,BOS,-19,26,24,19,9
13,13,2022-11-13,27-058,DEN,-10,CHI,10,25,4,6,.667,1,1,1.000,4,6,.667,0,5,5,2,0,0,1,2,13,10.7,+24,CHI,+23,20,18,15,7
